cognitive_ability	math_score	english_score	birth_year	studying_time	grade	female	male	income_status	mother_edu	father_edu	sibling_number
1.525640965	79.36021423	72.66505432	2000	0	7	0	1	4	8	9	1
0.262484998	67.69114685	54.7811203	2000	0	7	0	1	3	7	7	0
0.354290009	71.93444824	70.28053284	2000	2	7	1	0	4	2	2	2
0.633333981	78.2993927	65.51148224	2000	7	7	0	1	3	8	9	0
1.210366964	81.48186493	77.43410492	2001	0	7	1	0	3	8	7	0
1.042075992	70.87361908	71.47279358	2001	0	7	1	0	3	8	7	1
1.600536942	81.48186493	73.85732269	2001	1	7	0	1	3	6	7	0
-0.049031999	56.02207565	70.28053284	2001	0	7	1	0	3	8	7	0
0.690037012	77.23857117	73.85732269	2001	0	7	1	0	3	8	8	0
1.212803006	79.36021423	67.89601135	2000	0	7	1	0	4	7	8	0
-0.049031999	67.69114685	78.62636566	2000	2	7	1	0	3	3	3	5
0.543009996	77.23857117	76.24184418	2001	3	7	0	1	3	7	8	0
0.612393975	75.11692047	65.51148224	2001	3	7	1	0	3	7	4	0
0.592697024	58.14372635	59.5501709	2001	0	7	0	1	3	3	7	2
0.788003027	77.23857117	69.08827209	2001	1	7	1	0	3	7	5	0
-0.542199016	74.05609131	79.81863403	2001	0	7	1	0	3	3	3	1
0.049539	47.5354805	14.24420071	2001	2	7	0	1	4	6	7	1
0.60224998	80.4210434	73.85732269	2001	2	7	1	0	3	8	8	0
0.988879979	68.75196838	70.28053284	2001	0	7	1	0	3	8	7	0
1.356950045	80.4210434	75.04958344	2000	1	7	1	0	4	3	3	0
0.938409984	67.69114685	73.85732269	2001	0	7	1	0	3	8	9	0
1.237815976	72.99526978	65.51148224	2001	0	7	0	1	4	9	9	1
1.305371046	75.11692047	75.04958344	2001	2	7	1	0	3	3	4	0
1.439846039	70.87361908	64.3192215	2001	0	7	0	1	3	8	6	0
-0.965291977	79.36021423	77.43410492	2001	1	7	1	0	3	6	6	0
-1.006687999	64.50867462	59.5501709	2001	2	7	1	0	3	3	3	1
1.277619004	42.23135757	67.89601135	2001	1	7	0	1	4	8	8	3
0.959574997	82.54268646	77.43410492	2000	1	7	1	0	3	3	3	1
1.703652024	56.02207565	45.24302292	2000	0	7	0	1	3	3	6	1
0.917482018	78.2993927	67.89601135	2000	0	7	0	1	3	8	8	0
0.938166022	76.177742	77.43410492	2000	0	7	0	1	3	8	8	0
0.647085011	75.11692047	57.1656456	2000	0	7	1	0	3	8	8	2
1.239758968	74.05609131	78.62636566	2001	0	7	1	0	3	6	8	1
0.184314996	70.87361908	70.28053284	2001	3	7	1	0	4	9	9	0
-0.332244992	47.5354805	51.20433426	2001	0	7	0	1	5	8	8	0
0.543009996	72.99526978	54.7811203	2001	1	7	0	1	2	5	5	1
1.067553043	60.26537323	52.396595	2001	0	7	0	1	3	8	8	0
-0.025478	80.98061371	73.21921539	1999	10	9	0	1	4	7	8	0
0.235679999	76.81716919	77.26831055	1999	0	9	1	0	3	4	7	0
0.440634996	70.57200623	81.3174057	1999	1	9	1	0	3	3	3	3
1.040904999	74.73545074	75.24376678	1999	0	9	1	0	5	8	8	1
-0.146889001	76.81716919	83.34195709	1999	0	9	1	0	4	7	8	0
0.159676999	70.57200623	74.56891632	1999	3	9	1	0	4	8	3	2
0.886134028	74.04154205	73.89406586	1998	7	9	1	0	3	3	7	0
0.366050005	64.32683563	61.74677277	1999	0	9	0	1	3	8	8	0
1.349876046	72.65372467	76.59346008	1998	1	9	1	0	3	3	3	0
0.968488991	76.12326813	75.91860962	1999	0	9	1	0	2	8	9	0
1.47143805	78.20498657	78.61801147	1999	3	9	0	1	3	8	5	0
0.820514977	78.89889526	74.56891632	1999	0	9	1	0	4	7	7	0
1.297803044	80.28671265	83.34195709	1998	0	9	1	0	4	6	6	1
1.082355976	87.2257843	77.26831055	1999	0	9	0	1	3	8	8	0
0.817525983	69.87809753	71.194664	1999	4	9	1	0	3	7	7	0
0.77837199	81.6745224	78.61801147	1999	1	9	1	0	4	9	6	0
0.716903985	76.81716919	75.91860962	1998	0	9	0	1	3	8	8	0
1.280616045	78.20498657	81.3174057	1999	0	9	0	1	3	3	3	0
1.184322953	83.06233978	79.29286194	1999	0	9	1	0	3	8	9	0
0.038153	75.42935944	72.54436493	1999	0	9	1	0	3	8	8	0
0.481483996	68.49028015	74.56891632	1999	0	9	0	1	4	9	9	0
-0.347077996	77.51107788	70.51981354	1999	0	9	0	1	3	8	9	0
-0.081556	61.5512085	73.89406586	1999	0	9	1	0	3	8	7	0
1.082355976	83.06233978	76.59346008	1998	0	9	0	1	3	7	7	0
0.752804995	74.73545074	73.21921539	1999	5	9	1	0	3	7	8	0
0.996434987	85.14405823	80.64256287	1998	0	9	0	1	4	3	6	1
0.128040001	80.28671265	83.34195709	1999	0	9	1	0	3	6	8	0
0.862115979	68.49028015	73.89406586	1999	2	9	1	0	4	8	8	0
-0.014809	74.04154205	77.94316101	1999	0	9	1	0	3	7	7	0
0.765954018	80.98061371	72.54436493	1998	3	9	0	1	4	7	9	0
-0.660264015	74.73545074	73.21921539	1998	0	9	0	1	4	1	1	0
0.271997988	74.73545074	78.61801147	1998	0	9	1	0	3	7	7	0
1.521015048	60.8572998	71.194664	1999	1	9	1	0	3	8	8	0
0.589673996	75.42935944	75.24376678	1999	0	9	0	1	3	8	8	0
0.624761999	77.51107788	59.72222519	1999	0	9	0	1	4	9	9	0
0.802313983	62.24511337	79.9677124	1999	0	9	1	0	4	7	7	0
-0.688575983	64.32683563	80.64256287	1999	0	9	1	0	3	3	7	1
0.077085003	82.36843109	76.59346008	1999	0	9	1	0	3	8	7	0
0.742702007	74.04154205	77.94316101	1999	0	9	1	0	4	7	7	1
1.269736052	81.6745224	67.14556885	1999	0	9	0	1	3	8	8	0
-0.210473999	78.89889526	83.34195709	1998	0	9	1	0	4	5	8	0
-0.323145986	70.57200623	76.59346008	1999	2	9	1	0	3	8	8	0
1.561282992	80.98061371	77.94316101	1999	0	9	0	1	3	8	9	0
1.05012095	71.95981598	77.94316101	1998	6	9	0	1	4	8	8	0
0.243991002	67.1024704	75.91860962	1998	0	9	1	0	3	3	3	0
0.426212013	77.51107788	75.91860962	1998	0	9	1	0	3	8	8	0
-0.440333009	76.81716919	75.91860962	1998	0	9	0	1	3	8	8	0
0.143496007	67.79637146	56.34797668	1999	0	9	0	1	3	1	1	3
1.114560008	69.18418884	58.37252426	1999	4	9	1	0	4	8	9	0
0.737338006	73.34763336	59.04737473	1999	6	9	1	0	4	6	6	0
-0.228863999	44.20352173	56.34797668	1999	3	9	0	1	3	7	7	0
0.387629002	63.63293076	53.64857864	2000	0	9	1	0	3	8	8	0
0.898088992	64.32683563	61.74677277	1998	0	9	1	0	5	6	6	1
-0.075786002	67.79637146	59.72222519	1998	1	9	1	0	3	3	7	2
0.647033989	60.16339111	68.49526978	1999	2	9	1	0	3	6	8	0
1.403684974	76.12326813	63.09647369	1998	1	9	0	1	5	8	8	0
0.259445012	62.93902206	54.99827957	1999	1	9	0	1	3	8	8	0
0.624782979	45.5913353	77.94316101	1999	4	9	1	0	3	8	8	2
1.051609993	67.1024704	38.12704086	1999	0	9	1	0	4	4	7	0
-0.53125602	50.44868851	66.47071838	1999	2	9	1	0	3	7	7	0
1.318202019	66.40856171	70.51981354	1998	2	9	0	1	3	4	6	0
0.749655008	53.91822433	57.69767761	1999	1	9	0	1	4	8	8	0
0.537346005	62.93902206	58.37252426	1999	0	9	0	1	3	8	7	0
0.228993997	63.63293076	58.37252426	1999	0	9	1	0	3	4	4	0
-0.478848994	57.38776398	69.8449707	1999	0	9	1	0	3	4	7	0
0.017890999	55.99994659	53.64857864	1999	1	9	0	1	3	3	3	0
-1.498731017	59.46948624	51.62403107	1999	4	9	1	0	3	8	7	0
1.183413029	53.91822433	47.5749321	1999	6	9	0	1	3	5	5	1
0.129490003	58.08166885	58.37252426	1998	1	9	0	1	3	6	6	1
0.548940003	60.8572998	61.0719223	1999	2	9	0	1	4	8	9	0
0.437514991	72.65372467	58.37252426	1998	1	9	0	1	3	5	5	0
-1.265167952	60.16339111	53.64857864	1999	0	9	0	1	4	8	8	0
-0.206793994	80.57771301	82.19796753	1999	0	7	0	1	3	2	2	1
-0.182283998	76.84689331	72.36810303	2000	0	7	0	1	3	2	2	1
-0.280184001	59.59186935	65.48719788	2001	2	7	0	1	3	2	6	1
-1.657466054	66.1207962	70.89362335	2000	0	7	1	0	3	2	2	1
-0.373416007	69.85161591	70.89362335	2001	0	7	1	0	3	3	3	2
-0.600033998	68.91891479	68.43615723	1999	0	7	0	1	3	1	3	2
-0.136057004	76.38054657	79.7405014	2001	0	7	0	1	3	3	3	1
0.120943002	68.91891479	69.9106369	2001	3	7	1	0	3	2	2	1
0.163252994	75.9141922	69.9106369	2000	1	7	0	1	2	2	3	2
-0.611503005	74.98149109	75.31706238	2001	0	7	1	0	3	3	3	1
-1.815428019	66.58715057	73.8425827	1999	0	7	1	0	3	2	3	1
-0.316774011	72.1833725	71.8766098	2000	0	7	0	1	3	2	3	1
-1.324355006	59.1255188	59.58927917	2001	0	7	0	1	3	2	3	2
-0.501293004	74.04878235	61.55525208	1999	1	7	1	0	3	3	3	2
-0.616743028	60.52457428	66.47018433	2000	0	7	1	0	1	1	2	2
-0.206793994	67.98620605	67.944664	2000	0	7	0	1	4	3	3	2
0.001593	79.17865753	77.28303528	2001	0	7	1	0	3	3	3	1
1.26888299	79.6450119	81.21498108	2001	1	7	1	0	3	3	3	1
-0.289613008	56.32740402	70.89362335	2000	1	7	0	1	2	6	2	0
0.319427013	78.71230316	81.21498108	2001	2	7	1	0	3	3	3	2
-0.129293993	67.98620605	70.40213013	2001	0	7	1	0	2	2	3	1
-0.439691991	69.38526154	55.65733337	2000	0	7	0	1	2	2	2	0
-1.326972008	46.53401184	47.30194855	2001	0	7	0	1	4	3	6	1
